Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Adelphia_hiraea,Unresolved,Mascagnia hiraea,None,,,,,,,,
Matricaria_caucasica,Unresolved,None,None,,,,,,,,
Matricaria_chamomilla,Varietas,2 varietas,Matricaria_chamomilla_var._recutita,,,,,,,,
Matteuccia_struthiopteris,Unresolved,1 varieta,None,,,,,,,,
Monteverdia_erythroxyla,Synonym,Maytenus erythroxylon,Maytenus_erythroxylon,,,,,,,,
Monteverdia_schippii,Synonym,Maytenus schippii,Maytenus_schippii,,,,,,,,
Mentha_badensis,Unresolved,None,None,,,,,,,,
Mesua_cornerii,Unresolved,None,None,,,,,,,,
Cicerbita_muralis,Synonym,Lactuca muralis,Lactuca_muralis,,,,,,,,
Damburneya_purpurea,Synonym,Nectandra purpurea,Nectandra_purpurea,,,,,,,,
Ocotea_ira,Unresolved,None,None,,,,,,,,
Oenothera_x_erythrosepala,Unresolved,Oenothera erythrosepala,None,,,,,,,,
Onoclea_sensibilis,Unresolved,2 varietas,None,,,,,,,,
Osmunda_regalis,Unresolved,1 varietas,None,,,,,,,,
Oxalis_acetosella,Subspecies,Oxalis acetosella var. longicapsula,Oxalis_acetosella_subsp._japonica,,,,,,,,
Oxalis_corniculata,Form,1 form 2 varietas 1 subspecies,Oxalis_corniculata_f._rubrifolia,Oxalis_corniculata_var._atropurpurea,,,,,,,
Actinocephalus_geniculatus,Synonym,Paepalanthus geniculatus,Paepalanthus_geniculatus,,,,,,,,
Panicum_philadelphicum_subsp._gattingeri,Subspecies,Panicum gattingeri,Panicum_philadelphicum,,,,,,,,
Panicum_lindheimeri,Unresolved,None,None,,,,,,,,
Paropsia_varecifomis,Typo,Trichodia vareciformis,Paropsia_vareciformis,,,,,,,,
Ormopteris_cymbiformis,Unresolved,Pellaea cymbiformis,None,,,,,,,,
Penstemon_virgatus,Varietas,2 varietas,Penstemon_virgatus_var._virgatus,Penstemon_virgatus_var._asa-grayii,,,,,,,
Pentaspadon_motleyi,Unresolved,None,None,,,,,,,,
Phegopteris_connectilis,Unresolved,Dryopteris phegopteris,None,,,,,,,,
Phyteuma_scheuchzeri,Subspecies,2 subspecies,Phyteuma_scheuchzeri_subsp._columnae,Phyteuma_scheuchzeri_subsp._scheuchzeri,,,,,,,
Plantago_indica,Synonym,2 synonyms,Plantago_arenaria,Plantago_psyllium,,,,,,,
Plantago_argyraea,Unresolved,None,None,,,,,,,,
Poa_alpina,Varietas,1 varieta 2 subspecies,Poa_alpina_var._alpina,Poa_alpina_subsp._vivipara,Poa_alpina_subsp._fallax,,,,,,
Poa_annua,Subspecies,1 subspecies,Poa_annua_subsp._pilantha,,,,,,,,
Poa_bulbosa,Varietas,1 varieta 2 subspecies,Poa_bulbosa_var._bulbosa,Poa_bulbosa_subsp._bulbosa,Poa_bulbosa_subsp._vivipara,,,,,,
Poa_glauca,Subspecies,2 subspecies,Poa_glauca_subsp._glauca,,,,,,,,
Poa_laxa,Subspecies,4 subspecies,Poa_laxa_subsp._flexuosa,Poa_laxa_subsp._fernaldiana,,,,,,,
Poa_pratensis,Unresolved,5 subspecies,Poa_pratensis_subsp._angustifolia,Poa_pratensis_subsp._irrigata,Poa_pratensis_subsp._alpigena,Poa_pratensis_subsp._pratensis,Poa_pratensis_subsp._colpodea,,,,
Poa_trivialis,Varietas,1 varieta 2 subspecies,Poa_trivialis_var._trivialis,Poa_trivialis_subsp._sylvicola,,,,,,,
Polygala_nicaeensis,Subspecies,1 subspecies,Polygala_nicaeensis_subsp._carniolica,,,,,,,,
Polystichum_aculeatum,Unresolved,Polypodium aculeatum,None,,,,,,,,
Polystichum_lonchitis,Unresolved,Polypodium lonchitis,None,,,,,,,,
Potentilla_argentea,Varietas,1 varieta,Potentilla_argentea_var._pseudocalabra,,,,,,,,
Potentilla_indica,Varietas,1 varieta,Potentilla_indica_var._indica,,,,,,,,
Potentilla_reptans,Varietas,1 varieta,Potentilla_reptans_var._sericophylla,,,,,,,,
Potentilla_subviscosa,Varietas,1 varieta,Potentilla_subviscosa_var._subviscosa,,,,,,,,
Protium_neglectum,Unresolved,None,None,,,,,,,,
Pseudocymopterus_montanus,Unresolved,None,None,,,,,,,,
Palicourea_acuminata,Synonym,Psychotria acuminata,Psychotria_acuminata,,,,,,,,
Pteridium_aquilinum,Unresolved,13 subspecies 1 varieta,None,,,,,,,,
Pteris_cretica,Unresolved,3 varietas,None,,,,,,,,
Anemone_albana,Synonym,Pulsatilla albana ,Pulsatilla_albana,,,,,,,,
Anemone_aurea,Synonym,Pulsatilla aurea,Pulsatilla_aurea,,,,,,,,
Anemone_pratensis,Unresolved,3 subspecies,None,,,,,,,,
Anemone_vernalis,Synonym,Pulsatilla vernalis,Pulsatilla_vernalis,,,,,,,,
Anemone_pulsatilla,Unresolved,1 subspecies,None,,,,,,,,
Ranunculus_polyanthemos_subsp._serpens,Subspecies,Ranunculus serpens,Ranunculus_polyanthemos,,,,,,,,
Rosa_rubiginosa,Synonym,Rosa eglanteria,Rosa_eglanteria,,,,,,,,
Salvia_rosmarinus,Synonym,Rosmarinus officinalis,Rosmarinus_officinalis,,,,,,,,
Rubia_peregrina,Subspecies,1 subspecies,Rubia_peregrina_subsp._longifolia,,,,,,,,
Rubus_corylifolius,Unresolved,None,None,,,,,,,,
Rudbeckia_hirta,Varietas,1 varieta,Rudbeckia_hirta_var._pulcherrima,,,,,,,,
Sacoglottis_mattogrossensis,Unresolved,None,None,,,,,,,,
Salvia_pratensis,Subspecies,1 subspecies,Salvia_pratensis_subsp._pratensis,,,,,,,,
Sanguisorba_minor,Synonym,Poterium sanguisorba,Poterium_sanguisorba,,,,,,,,
Santolina_chamaecyparissus,Subspecies,1 subspecies,Santolina_chamaecyparissus_var._teucrietorum,,,,,,,,
Sebastiania_ditassoides,Unresolved,None,None,,,,,,,,
Selaginella_selaginoides,Unresolved,None,None,,,,,,,,
Senecio_aurantiacus,Unresolved,None,None,,,,,,,,
Senecio_germanicus,Unresolved,None,None,,,,,,,,
Senecio_ovatus,Unresolved,None,None,,,,,,,,
Senecio_taraxacifolius,Unresolved,None,None,,,,,,,,
Senna_macranthera,Varietas,2 varietas,Senna_macranthera_var._nervosa,Senna_macranthera_var._micans,,,,,,,
Serratula_tinctoria,Subspecies,2 subspecies,Serratula_tinctoria_subsp._tinctoria,Serratula_tinctoria_subsp._seoanei,,,,,,,
Solanum_circinatum,Subspecies,2 subspecies,Solanum_circinatum_subsp._circinatum,Solanum_circinatum_subsp._ramosum,,,,,,,
Solanum_tuberosum,Subspecies,1 subspecies,Solanum_tuberosum_subsp._andigenum,,,,,,,,
Solidago_nana,Unresolved,None,None,,,,,,,,
Solidago_sciaphila,Unresolved,None,None,,,,,,,,
Sonchus_arvensis,Subspecies,2 subspecies,Sonchus_arvensis_subsp._arvensis,Sonchus_arvensis_subsp._uliginosus,,,,,,,
