Species_name,Symbiotic_type,Binary_Symb_AnyAM,Binary_Sym_OnlyAM,C.selection,S.selection,R.selection,Cosine_CSR,Cosine_C,Cosine_S,Cosine_R,CSR0.7,CSR0.75,CSR0.8,CSR0.85,CSR0.9,CSR0.92,CSR0.95,C0.7,C0.75,C0.8,C0.85,C0.9,C0.92,C0.95,S0.7,S0.75,S0.8,S0.85,S0.9,S0.92,S0.95,R0.7,R0.75,R0.8,R0.85,R0.9,R0.92,R0.95
Justicia_graciliflora,NMAM,AnyAM,Others,47.73376943,20.14602653,32.12020405,0.947101863,0.78303838,0.33048117,0.526908997,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_spe,C_spe,C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lamium_galeobdolon_subsp._galeobdolon,NMAM,AnyAM,Others,28.53798635,37.36179337,34.10022028,0.994081173,0.491366792,0.643295021,0.587137285,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lamium_album,NMAM,AnyAM,Others,29.26166611,9.753014426,60.98531947,0.844800516,0.428167647,0.142709756,0.892360012,CSR_gen,CSR_gen,CSR_gen,CSR_spe,CSR_spe,CSR_spe,CSR_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,R_spec,R_spec,R_spec,R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lamium_amplexicaule,NMAM,AnyAM,Others,8.954660965,0,91.04533903,0.631089828,0.097881576,0,0.995198069,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,R_spec,R_spec,R_spec,R_spec,R_spec,R_spec,R_spec
Lamium_maculatum,NMAM,AnyAM,Others,19.97571112,33.23124367,46.79304521,0.950065656,0.328712709,0.546840714,0.770008564,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,R_spec,R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lamium_purpureum,NMAM,AnyAM,Others,22.34407682,19.71371582,57.94220736,0.8861167,0.3429367,0.302565942,0.889296503,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_spe,CSR_spe,CSR_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,R_spec,R_spec,R_spec,R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lappula_deflexa,NMAM,AnyAM,Others,51.34407253,0,48.65592747,0.816201735,0.72585263,0,0.687850246,CSR_gen,CSR_gen,CSR_gen,CSR_spe,CSR_spe,CSR_spe,CSR_spe,C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Lappula_squarrosa,NMAM,AnyAM,Others,28.42286497,0,71.57713503,0.749669916,0.369061347,0,0.929405037,CSR_gen,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,R_spec,R_spec,R_spec,R_spec,R_spec,R_spec,Non_R_spec
Limonium_vulgare,NMAM,AnyAM,Others,73.88719922,20.03776608,6.075034694,0.751790263,0.962113987,0.260919553,0.079105392,CSR_gen,CSR_gen,CSR_spe,CSR_spe,CSR_spe,CSR_spe,CSR_spe,C_spe,C_spe,C_spe,C_spe,C_spe,C_spe,C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Linaria_angustissima,NMAM,AnyAM,Others,20.72034687,53.43064519,25.84900795,0.918358697,0.329586938,0.84989131,0.411165674,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_spe,CSR_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,S_spe,S_spe,S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
Linaria_genistifolia_subsp._dalmatica,NMAM,AnyAM,Others,28.28317737,39.5170492,32.19977343,0.990386326,0.485169465,0.677875239,0.552354732,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_C_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_S_spe,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec,Non_R_spec
