Species_name,Symbiotic_type,C-selection,S-selection,R-selection,CSR_categorical_level
Aporosa falcifera,AM,41.12366159,57.6537577,1.222580715,CS
Aporosa globifera,AM,39.60569461,45.70219978,14.69210561,CS/CSR
Aporosa microstachya,AM,38.62317797,50.53651648,10.84030555,CS/CSR
Aporosa nigricans,AM,54.39141934,41.90776527,3.700815394,CS
Aporosa prainiana,AM,51.45782061,25.58904662,22.95313277,C/CSR
Aposeris foetida,AM,39.15322826,0,60.84677174,CR
Appunia seibertii,AM,56.06169259,15.00499078,28.93331663,C/CSR
Apuleia leiocarpa,AM,31.61138005,48.2695964,20.11902355,S/CSR
Aquilegia atrata,AM,53.10823061,3.721298231,43.17047115,CR
Aquilegia braunerana,AM,25.64244862,34.31156126,40.04599012,CSR
Aquilegia vulgaris,AM,40.99627528,32.00941959,26.99430513,CSR
Aralia hispida,AM,37.87647322,48.97411931,13.14940748,CS/CSR
Arctium lappa,AM,87.2451183,0.395597104,12.3592846,C
Arctium minus,AM,84.89788507,0,15.10211493,C
Ardisia bartlettii,AM,38.62837631,49.92733746,11.44428622,CS/CSR
Ardisia crassa,AM,38.57183563,55.43777567,5.9903887,CS
Ardisia fendleri,AM,61.28672271,27.6989828,11.01429449,C/CS
Ardisia guianensis,AM,45.02179142,35.04333693,19.93487165,CS/CSR
Ardisia hulletii,AM,49.85192539,45.18805637,4.96001824,CS
Ardisia kunstleri,AM,48.41463693,50.25724447,1.328118594,CS
Aristida dichotoma,AM,4.041129326,78.04246796,17.91640272,S/SR
Aristida oligantha,AM,5.02696095,60.29747588,34.67556317,S/SR
Aristida purpurascens,AM,8.636882337,59.32899433,32.03412334,S/SR
Aristida purpurea,AM,0,100,0,S
Arnica montana,AM,59.0724297,0,40.9275703,CR
Arnoseris minima,AM,35.05835206,0,64.94164794,R/CR
Fridericia candicans,AM,64.6131544,27.77891814,7.607927465,C/CS
Fridericia florida,AM,50.24190621,33.22818976,16.52990403,CS/CSR
Fridericia schumanniana,AM,52.11050048,35.80475964,12.08473988,CS/CSR
Arrhenatherum elatius,AM,23.76188197,35.52005401,40.71806402,SR/CSR
Artemisia absinthium,AM,32.34760008,23.48010628,44.17229364,CR/CSR
Artemisia annua,AM,24.88690521,28.27524195,46.83785284,R/CSR
Artemisia campestris,AM,22.28924042,30.41304809,47.29771149,R/CSR
Artemisia carruthii,AM,5.832437034,61.45865163,32.70891133,S/SR
Artemisia campestris subsp. Caudata,AM,29.51640465,49.24101967,21.24257569,S/CSR
Artemisia dracunculus,AM,10.63345616,46.86260915,42.50393469,SR
Artemisia ludoviciana,AM,12.53536881,65.09222645,22.37240474,S/SR
Artemisia maritima,AM,37.72890573,24.496981,37.77411327,CR/CSR
Artemisia verlotiorum,AM,31.58955946,59.94330023,8.467140304,S/CS
Artemisia vulgaris,AM,39.05276769,49.64750008,11.29973223,CS/CSR
Aruncus dioicus,AM,70.58389813,3.338780028,26.07732184,C/CR
Asarum canadense,AM,69.92891231,0,30.07108769,C/CR
Asarum europaeum,AM,52.42119883,0,47.57880117,CR
Asclepias incarnata,AM,36.05668554,28.25687442,35.68644004,CSR
Asclepias syriaca,AM,63.43525299,17.31986391,19.2448831,C/CSR
Asclepias tuberosa,AM,30.74701815,28.17419497,41.07878689,CSR
Asclepias verticillata,AM,4.858616084,42.20936972,52.93201419,SR
Asclepias viridis,AM,25.55262314,72.49563902,1.951737839,S/CS
Asparagus officinalis,AM,0.349989536,92.58772385,7.062286613,S
Aster acuminatus,AM,8.386054188,68.62510711,22.98883871,S/SR
Aster alpinus,AM,10.06100535,60.7886499,29.15034474,S/SR
Aster amellus,AM,25.99000364,43.89777019,30.11222617,S/CSR
Aster bellidiastrum,AM,42.23373286,0,57.76626714,CR
Aster dumosus,AM,6.158131752,90.93639064,2.905477605,S
Symphyotrichum ericoides,AM,8.851997371,56.67056682,34.47743581,SR
Eurybia hemispherica,AM,8.844269564,83.42899969,7.726730742,S
Aster laevis,AM,39.0672287,33.84771463,27.08505667,CSR
Symphyotrichum lanceolatum,AM,10.93437435,64.48919371,24.57643195,S/SR
Galatella linosyris,AM,6.506554166,79.22889627,14.26454956,S/SR
Symphyotrichum novae-angliae,AM,18.02066813,46.54004941,35.43928246,SR/CSR
Symphyotrichum patens,AM,8.001052449,83.93362632,8.065321233,S
Symphyotrichum pilosum,AM,21.76256422,36.45947998,41.7779558,SR/CSR
Symphyotrichum puniceum,AM,35.42758175,40.32829235,24.2441259,CS/CSR
Aster sagittifolius,AM,18.87198113,36.67152402,44.45649485,SR/CSR
Aster simplex,AM,31.23052345,42.32036343,26.44911312,CSR
Tripolium pannonicum subsp. tripolium,AM,54.38458391,0,45.61541609,CR
Doellingeria umbellata,AM,48.65086494,4.362779431,46.98635563,CR
Astrantia major,AM,59.75768842,0,40.24231158,CR
Astrantia minor,AM,19.13634383,31.57769511,49.28596106,R/CSR
Astrocaryum standleyanum,AM,61.30204974,37.15324822,1.54470204,CS
Astronium graveolens,AM,53.63924073,34.17983837,12.1809209,CS/CSR
Athamanta cretensis,AM,50.34377182,49.65622818,0,CS
Athyrium distentifolium,AM,62.31442215,3.614048608,34.07152924,C/CR
Athyrium filix-femina,AM,69.03485643,0,30.96514357,C/CR
Atropa belladonna,AM,63.57954006,6.961626445,29.45883349,C/CR
Aucuba japonica,AM,65.25534402,22.40097744,12.34367854,C/CS
Aulonemia effusa,AM,37.32341148,62.67658852,0,S/CS
Avena barbata,AM,6.571848696,42.37298978,51.05516152,SR
Avena fatua,AM,40.1700246,19.5561003,40.2738751,CR/CSR
Avena sativa,AM,57.20457374,11.44312127,31.35230499,C/CSR
Avena sterilis,AM,41.99290758,15.83566449,42.17142794,CR/CSR
Avena strigosa,AM,36.68962849,18.99490971,44.3154618,CR/CSR
Avenula pubescens,AM,25.63393328,48.30660516,26.05946155,S/CSR
Avenula versicolor,AM,14.63974081,85.23128916,0.128970029,S
Baccaurea parviflora,AM,41.98886232,49.43123942,8.579898263,CS
Baccaurea racemosa,AM,46.58498177,47.87046543,5.544552805,CS
Bactris acanthocarpa,AM,52.43225705,37.19688447,10.37085848,CS
Bactris setosa,AM,54.32404888,34.96391776,10.71203336,CS
Amauriopsis dissecta,AM,69.43247164,0,30.56752836,C/CR
Barbacenia blackii,AM,45.31166557,54.68833443,0,CS
Barringtonia macrostachya,AM,61.91929529,36.90316091,1.177543795,C/CS
Beilschmiedia pendula,AM,49.80404522,50.19595478,0,CS
Bellardiochloa variegata,AM,11.32349111,70.84713292,17.82937598,S/SR
Aster bellidiastrum ,AM,34.36911746,0,65.63088254,R/CR
Bellis perennis,AM,21.12952753,0,78.87047247,R/CR
Berberis vulgaris,AM,18.03054889,70.68260314,11.28684797,S/CS
Berchemia scandens,AM,11.090431,80.4724898,8.437079202,S
Betonica macrantha,AM,46.10787362,33.89119982,20.00092655,CS/CSR
Bidens andicola,AM,15.40090765,68.97574742,15.62334493,S/SR
Bidens cernua,AM,25.93233142,27.44377479,46.62389379,R/CSR
Bidens connata,AM,26.71313274,0,73.28686726,R/CR
Bidens frondosa,AM,45.52653897,5.616578414,48.85688262,CR
Bidens radiata,AM,62.87679333,0,37.12320667,C/CR
Bidens tripartita,AM,43.99484561,0,56.00515439,CR
Bifora radians,AM,32.65954583,0,67.34045417,R/CR
Blackstonia perfoliata,AM,6.271475947,34.85298429,58.87553977,SR
Struthiopteris spicant,AM,69.40368039,0,30.59631961,C/CR
Muhlenbergia tricholepis,AM,2.301551503,97.6984485,0,S
Blephilia ciliata,AM,8.376718527,74.42320747,17.20007401,S/SR
Alibertia dwyeri,AM,54.44391022,38.2828789,7.273210886,CS
Bothriochloa insculpta,AM,10.89772402,47.74005594,41.36222004,SR/CSR
Botrychium lunaria,AM,25.42439941,23.84826828,50.72733231,R/CSR
Bouteloua curtipendula,AM,15.21251148,66.01096723,18.77652129,S/SR
Bouteloua gracilis,AM,4.7359213,73.10193502,22.16214368,S/SR
Bouteloua hirsuta,AM,12.73260711,70.53566165,16.73173124,S/SR
Bouteloua simplex,AM,0,100,0,S
Brachypodium distachyon,AM,1.722192378,56.31628698,41.96152065,SR
Brachypodium phoenicoides,AM,18.27275564,63.24869829,18.47854607,S/CSR
Brachypodium rupestre,AM,23.64992653,40.83093144,35.51914204,SR/CSR
