Species_name,Symbiotic_type,C-selection,S-selection,R-selection
Aporosa nigricans,AM,54.39141934,41.90776527,3.700815394
Aporosa prainiana,AM,51.45782061,25.58904662,22.95313277
Aposeris foetida,AM,39.15322826,0,60.84677174
Appunia seibertii,AM,56.06169259,15.00499078,28.93331663
Apuleia leiocarpa,AM,31.61138005,48.2695964,20.11902355
Aquilegia atrata,AM,53.10823061,3.721298231,43.17047115
Aquilegia braunerana,AM,25.64244862,34.31156126,40.04599012
Aquilegia vulgaris,AM,40.99627528,32.00941959,26.99430513
Aralia hispida,AM,37.87647322,48.97411931,13.14940748
Arctium lappa,AM,87.2451183,0.395597104,12.3592846
Arctium minus,AM,84.89788507,0,15.10211493
Ardisia bartlettii,AM,38.62837631,49.92733746,11.44428622
Ardisia crassa,AM,38.57183563,55.43777567,5.9903887
Ardisia fendleri,AM,61.28672271,27.6989828,11.01429449
Ardisia guianensis,AM,45.02179142,35.04333693,19.93487165
Ardisia hulletii,AM,49.85192539,45.18805637,4.96001824
Ardisia kunstleri,AM,48.41463693,50.25724447,1.328118594
Aristida dichotoma,AM,4.041129326,78.04246796,17.91640272
Aristida oligantha,AM,5.02696095,60.29747588,34.67556317
Aristida purpurascens,AM,8.636882337,59.32899433,32.03412334
Aristida purpurea,AM,0,100,0
Arnica montana,AM,59.0724297,0,40.9275703
Arnoseris minima,AM,35.05835206,0,64.94164794
Fridericia candicans,AM,64.6131544,27.77891814,7.607927465
Fridericia florida,AM,50.24190621,33.22818976,16.52990403
Fridericia schumanniana,AM,52.11050048,35.80475964,12.08473988
Arrhenatherum elatius,AM,23.76188197,35.52005401,40.71806402
Artemisia absinthium,AM,32.34760008,23.48010628,44.17229364
Artemisia annua,AM,24.88690521,28.27524195,46.83785284
Artemisia campestris,AM,22.28924042,30.41304809,47.29771149
Artemisia carruthii,AM,5.832437034,61.45865163,32.70891133
Artemisia campestris subsp. caudata,AM,29.51640465,49.24101967,21.24257569
Artemisia dracunculus,AM,10.63345616,46.86260915,42.50393469
Artemisia ludoviciana,AM,12.53536881,65.09222645,22.37240474
Artemisia maritima,AM,37.72890573,24.496981,37.77411327
Artemisia verlotiorum,AM,31.58955946,59.94330023,8.467140304
Artemisia vulgaris,AM,39.05276769,49.64750008,11.29973223
Aruncus dioicus,AM,70.58389813,3.338780028,26.07732184
Asarum canadense,AM,69.92891231,0,30.07108769
Asarum europaeum,AM,52.42119883,0,47.57880117
Asclepias incarnata,AM,36.05668554,28.25687442,35.68644004
Asclepias syriaca,AM,63.43525299,17.31986391,19.2448831
Asclepias tuberosa,AM,30.74701815,28.17419497,41.07878689
Asclepias verticillata,AM,4.858616084,42.20936972,52.93201419
Asclepias viridis,AM,25.55262314,72.49563902,1.951737839
Asparagus officinalis,AM,0.349989536,92.58772385,7.062286613
Aster acuminatus,AM,8.386054188,68.62510711,22.98883871
Aster alpinus,AM,10.06100535,60.7886499,29.15034474
Aster amellus,AM,25.99000364,43.89777019,30.11222617
Aster bellidiastrum,AM,42.23373286,0,57.76626714
Aster dumosus,AM,6.158131752,90.93639064,2.905477605
Symphyotrichum ericoides,AM,8.851997371,56.67056682,34.47743581
Eurybia hemispherica,AM,8.844269564,83.42899969,7.726730742
Aster laevis,AM,39.0672287,33.84771463,27.08505667
Symphyotrichum lanceolatum,AM,10.93437435,64.48919371,24.57643195
Galatella linosyris,AM,6.506554166,79.22889627,14.26454956
Symphyotrichum novae-angliae,AM,18.02066813,46.54004941,35.43928246
Symphyotrichum patens,AM,8.001052449,83.93362632,8.065321233
Symphyotrichum pilosum,AM,21.76256422,36.45947998,41.7779558
Symphyotrichum puniceum,AM,35.42758175,40.32829235,24.2441259
Aster sagittifolius,AM,18.87198113,36.67152402,44.45649485
Aster simplex,AM,31.23052345,42.32036343,26.44911312
Tripolium pannonicum subsp. tripolium,AM,54.38458391,0,45.61541609
Doellingeria umbellata,AM,48.65086494,4.362779431,46.98635563
Astrantia major,AM,59.75768842,0,40.24231158
Astrantia minor,AM,19.13634383,31.57769511,49.28596106
Astrocaryum standleyanum,AM,61.30204974,37.15324822,1.54470204
Astronium graveolens,AM,53.63924073,34.17983837,12.1809209
Athamanta cretensis,AM,50.34377182,49.65622818,0
Athyrium distentifolium,AM,62.31442215,3.614048608,34.07152924
Athyrium filix-femina,AM,69.03485643,0,30.96514357
Atropa belladonna,AM,63.57954006,6.961626445,29.45883349
Aucuba japonica,AM,65.25534402,22.40097744,12.34367854
Aulonemia effusa,AM,37.32341148,62.67658852,0
Avena barbata,AM,6.571848696,42.37298978,51.05516152
Avena fatua,AM,40.1700246,19.5561003,40.2738751
Avena sativa,AM,57.20457374,11.44312127,31.35230499
Avena sterilis,AM,41.99290758,15.83566449,42.17142794
Avena strigosa,AM,36.68962849,18.99490971,44.3154618
Avenula pubescens,AM,25.63393328,48.30660516,26.05946155
Avenula versicolor,AM,14.63974081,85.23128916,0.128970029
Baccaurea parviflora,AM,41.98886232,49.43123942,8.579898263
Baccaurea racemosa,AM,46.58498177,47.87046543,5.544552805
Bactris acanthocarpa,AM,52.43225705,37.19688447,10.37085848
Bactris setosa,AM,54.32404888,34.96391776,10.71203336
Amauriopsis dissecta,AM,69.43247164,0,30.56752836
Barbacenia blackii,AM,45.31166557,54.68833443,0
Barringtonia macrostachya,AM,61.91929529,36.90316091,1.177543795
Beilschmiedia pendula,AM,49.80404522,50.19595478,0
Bellardiochloa variegata,AM,11.32349111,70.84713292,17.82937598
Aster bellidiastrum ,AM,34.36911746,0,65.63088254
Bellis perennis,AM,21.12952753,0,78.87047247
Berberis vulgaris,AM,18.03054889,70.68260314,11.28684797
Berchemia scandens,AM,11.090431,80.4724898,8.437079202
Betonica macrantha,AM,46.10787362,33.89119982,20.00092655
Bidens andicola,AM,15.40090765,68.97574742,15.62334493
Bidens cernua,AM,25.93233142,27.44377479,46.62389379
Bidens connata,AM,26.71313274,0,73.28686726
Bidens frondosa,AM,45.52653897,5.616578414,48.85688262
Bidens radiata,AM,62.87679333,0,37.12320667
Bidens tripartita,AM,43.99484561,0,56.00515439
Bifora radians,AM,32.65954583,0,67.34045417
Blackstonia perfoliata,AM,6.271475947,34.85298429,58.87553977
Struthiopteris spicant,AM,69.40368039,0,30.59631961
Muhlenbergia tricholepis,AM,2.301551503,97.6984485,0
Blephilia ciliata,AM,8.376718527,74.42320747,17.20007401
Alibertia dwyeri,AM,54.44391022,38.2828789,7.273210886
Bothriochloa insculpta,AM,10.89772402,47.74005594,41.36222004
Botrychium lunaria,AM,25.42439941,23.84826828,50.72733231
Bouteloua curtipendula,AM,15.21251148,66.01096723,18.77652129
Bouteloua gracilis,AM,4.7359213,73.10193502,22.16214368
Bouteloua hirsuta,AM,12.73260711,70.53566165,16.73173124
Bouteloua simplex,AM,0,100,0
Brachypodium distachyon,AM,1.722192378,56.31628698,41.96152065
Brachypodium phoenicoides,AM,18.27275564,63.24869829,18.47854607
Brachypodium rupestre,AM,23.64992653,40.83093144,35.51914204
Brachypodium sylvaticum,AM,26.34114209,21.40626512,52.25259278
Briza media var. caucasica,AM,10.81436727,45.66300615,43.52262658
Briza media,AM,22.1103839,27.16592503,50.72369106
Bromus arvensis,AM,26.20843735,45.22123971,28.57032294
Bromus benekenii,AM,9.337623019,59.36975198,31.292625
Bromus ciliatus,AM,11.82842803,48.79915751,39.37241445
Bromus commutatus,AM,26.54543199,29.30377743,44.15079058
Bromus diandrus,AM,22.73413099,38.89550045,38.37036855
Bromus erectus,AM,11.80979209,64.39404634,23.79616158
Bromus grossus,AM,12.89496834,43.46280743,43.64222423
Bromus hordeaceus,AM,17.40449796,47.02933392,35.56616812
Bromus inermis,AM,37.27579161,38.79796087,23.92624752
Bromus japonicus,AM,13.35193661,54.83585679,31.8122066
Bromus kalmii,AM,16.38288192,55.36879946,28.24831862
Bromus lanceolatus,AM,4.53456038,43.75412521,51.71131441
Bromus madritensis,AM,8.041850178,31.11956146,60.83858836
Bromus racemosus,AM,44.95920201,6.704122838,48.33667515
Bromus ramosus,AM,36.64282478,29.96297649,33.39419872
Bromus secalinus,AM,31.90242377,42.41468071,25.68289551
Bromus squarrosus,AM,35.52217778,16.42811896,48.04970326
Bromus sterilis,AM,15.9921059,40.09673631,43.91115779
Brosimum alicastrum,AM,36.03145987,55.50213378,8.466406347
Brosimum guianense,AM,36.65458068,49.01373793,14.33168139
Brosimum utile,AM,49.3251313,50.51175995,0.163108754
Broussonetia papyrifera,AM,59.07785942,22.40779465,18.51434593
Bryonia alba,AM,55.93298806,1.284793554,42.78221839
Buchenavia tetraphylla,AM,22.11954257,66.05556688,11.82489055
